Date [mm/dd] Start Time [hh:mm:ss],Iter_Duration [ms],C_CH4 [ppm],C_H2S [ppm],RH [%],T [C],time
4/15/2025 9:48,2.1,2.1,0,0,5,4/15/2025 9:48:38
4/15/2025 10:17,2.1,2.1,0,0,5,4/15/2025 10:17:38
4/15/2025 10:46,6,6,0,0,5,4/15/2025 10:46:38
4/15/2025 11:15,29,29,0,0,5,4/15/2025 11:15:38
4/15/2025 11:44,52,52,0,0,5,4/15/2025 11:44:38
4/15/2025 12:13,71,71,0,0,5,4/15/2025 12:13:38
4/15/2025 12:42,210,210,0,0,5,4/15/2025 12:42:38
4/15/2025 13:11,345,345,0,0,5,4/15/2025 13:11:39
4/15/2025 13:40,480,480,0,0,5,4/15/2025 13:40:39
4/15/2025 14:09,615,615,0,0,5,4/15/2025 14:09:39
4/15/2025 14:38,750,750,0,0,5,4/15/2025 14:38:39
4/15/2025 15:07,1670,1670,0,0,5,4/15/2025 15:07:39
4/15/2025 15:36,2590,2590,0,0,5,4/15/2025 15:36:39
4/15/2025 16:05,3510,3510,0,0,5,4/15/2025 16:05:39
4/15/2025 16:34,2.1,2.1,0,35,5,4/15/2025 16:34:39
4/15/2025 17:03,6,6,0,35,5,4/15/2025 17:03:39
4/15/2025 17:32,29,29,0,35,5,4/15/2025 17:32:39
4/15/2025 18:01,52,52,0,35,5,4/15/2025 18:01:39
4/15/2025 18:30,71,71,0,35,5,4/15/2025 18:30:39
4/15/2025 18:59,210,210,0,35,5,4/15/2025 18:59:39
4/15/2025 19:28,345,345,0,35,5,4/15/2025 19:28:39
4/15/2025 19:57,480,480,0,35,5,4/15/2025 19:57:39
4/15/2025 20:26,615,615,0,35,5,4/15/2025 20:26:39
4/15/2025 20:55,750,750,0,35,5,4/15/2025 20:55:39
4/15/2025 21:24,1670,1670,0,35,5,4/15/2025 21:24:39
4/15/2025 21:53,2590,2590,0,35,5,4/15/2025 21:53:39
4/15/2025 22:22,3510,3510,0,35,5,4/15/2025 22:22:39
4/15/2025 22:51,2.1,2.1,0,100,5,4/15/2025 22:51:39
4/15/2025 23:20,6,6,0,100,5,4/15/2025 23:20:39
4/15/2025 23:49,29,29,0,100,5,4/15/2025 23:49:39
4/16/2025 0:18,52,52,0,100,5,4/16/2025 0:18:39
4/16/2025 0:47,71,71,0,100,5,4/16/2025 0:47:39
4/16/2025 1:16,210,210,0,100,5,4/16/2025 1:16:39
4/16/2025 1:45,345,345,0,100,5,4/16/2025 1:45:39
4/16/2025 2:14,480,480,0,100,5,4/16/2025 2:14:39
4/16/2025 2:43,615,615,0,100,5,4/16/2025 2:43:39
4/16/2025 3:12,750,750,0,100,5,4/16/2025 3:12:39
4/16/2025 3:41,1670,1670,0,100,5,4/16/2025 3:41:39
4/16/2025 4:10,2590,2590,0,100,5,4/16/2025 4:10:39
4/16/2025 4:39,3510,3510,0,100,5,4/16/2025 4:39:39
4/16/2025 5:08,2.1,2.1,0,0,5,4/16/2025 5:08:39
4/16/2025 5:37,6,6,0,0,5,4/16/2025 5:37:39
4/16/2025 6:06,29,29,0,0,5,4/16/2025 6:06:39
4/16/2025 6:35,52,52,0,0,5,4/16/2025 6:35:39
4/16/2025 7:04,71,71,0,0,5,4/16/2025 7:04:39
4/16/2025 7:33,210,210,0,0,5,4/16/2025 7:33:39
4/16/2025 8:02,345,345,0,0,5,4/16/2025 8:02:39
4/16/2025 8:31,480,480,0,0,5,4/16/2025 8:31:39
4/16/2025 9:00,615,615,0,0,5,4/16/2025 9:00:39
4/16/2025 9:29,750,750,0,0,5,4/16/2025 9:29:39
4/16/2025 9:58,1670,1670,0,0,5,4/16/2025 9:58:39
4/16/2025 10:27,2590,2590,0,0,5,4/16/2025 10:27:39
4/16/2025 10:56,3510,3510,0,0,5,4/16/2025 10:56:39
4/16/2025 11:25,2.1,2.1,0,35,5,4/16/2025 11:25:39
4/16/2025 11:54,6,6,0,35,5,4/16/2025 11:54:39
4/16/2025 12:23,29,29,0,35,5,4/16/2025 12:23:39
4/16/2025 12:52,52,52,0,35,5,4/16/2025 12:52:39
4/16/2025 13:21,71,71,0,35,5,4/16/2025 13:21:39
4/16/2025 13:50,210,210,0,35,5,4/16/2025 13:50:39
4/16/2025 14:19,345,345,0,35,5,4/16/2025 14:19:39
4/16/2025 14:48,480,480,0,35,5,4/16/2025 14:48:39
4/16/2025 15:17,615,615,0,35,5,4/16/2025 15:17:39
4/16/2025 15:46,750,750,0,35,5,4/16/2025 15:46:39
4/16/2025 16:15,1670,1670,0,35,5,4/16/2025 16:15:39
4/16/2025 16:44,2590,2590,0,35,5,4/16/2025 16:44:39
4/16/2025 17:13,3510,3510,0,35,5,4/16/2025 17:13:39
4/16/2025 17:42,2.1,2.1,0,100,5,4/16/2025 17:42:39
4/16/2025 18:11,6,6,0,100,5,4/16/2025 18:11:39
4/16/2025 18:40,29,29,0,100,5,4/16/2025 18:40:39
4/16/2025 19:09,52,52,0,100,5,4/16/2025 19:09:39
4/16/2025 19:38,71,71,0,100,5,4/16/2025 19:38:39
4/16/2025 20:07,210,210,0,100,5,4/16/2025 20:07:39
4/16/2025 20:36,345,345,0,100,5,4/16/2025 20:36:39
4/16/2025 21:05,480,480,0,100,5,4/16/2025 21:05:39
4/16/2025 21:34,615,615,0,100,5,4/16/2025 21:34:39
4/16/2025 22:03,750,750,0,100,5,4/16/2025 22:03:39
4/16/2025 22:32,1670,1670,0,100,5,4/16/2025 22:32:39
4/16/2025 23:01,2590,2590,0,100,5,4/16/2025 23:01:39
4/16/2025 23:30,3510,3510,0,100,5,4/16/2025 23:30:39
4/16/2025 23:59,2.1,2.1,0,0,20,4/16/2025 23:59:39
4/17/2025 0:28,2.1,2.1,0,0,20,4/17/2025 0:28:39
4/17/2025 0:57,6,6,0,0,20,4/17/2025 0:57:39
4/17/2025 1:26,29,29,0,0,20,4/17/2025 1:26:39
4/17/2025 1:55,52,52,0,0,20,4/17/2025 1:55:39
4/17/2025 2:24,71,71,0,0,20,4/17/2025 2:24:39
4/17/2025 2:53,210,210,0,0,20,4/17/2025 2:53:39
4/17/2025 3:22,345,345,0,0,20,4/17/2025 3:22:39
4/17/2025 3:51,480,480,0,0,20,4/17/2025 3:51:39
4/17/2025 4:20,615,615,0,0,20,4/17/2025 4:20:39
4/17/2025 4:49,750,750,0,0,20,4/17/2025 4:49:39
4/17/2025 5:18,1670,1670,0,0,20,4/17/2025 5:18:39
4/17/2025 5:47,2590,2590,0,0,20,4/17/2025 5:47:39
4/17/2025 6:16,3510,3510,0,0,20,4/17/2025 6:16:39
4/17/2025 6:45,2.1,2.1,0,35,20,4/17/2025 6:45:39
4/17/2025 7:14,6,6,0,35,20,4/17/2025 7:14:39
4/17/2025 7:43,29,29,0,35,20,4/17/2025 7:43:39
4/17/2025 8:12,52,52,0,35,20,4/17/2025 8:12:39
4/17/2025 8:41,71,71,0,35,20,4/17/2025 8:41:39
4/17/2025 9:10,210,210,0,35,20,4/17/2025 9:10:39
4/17/2025 9:39,345,345,0,35,20,4/17/2025 9:39:39
4/17/2025 10:08,480,480,0,35,20,4/17/2025 10:08:39
4/17/2025 10:37,615,615,0,35,20,4/17/2025 10:37:39
4/17/2025 11:06,750,750,0,35,20,4/17/2025 11:06:39
4/17/2025 11:35,1670,1670,0,35,20,4/17/2025 11:35:39
4/17/2025 12:04,2590,2590,0,35,20,4/17/2025 12:04:39
4/17/2025 12:33,3510,3510,0,35,20,4/17/2025 12:33:39
4/17/2025 13:02,2.1,2.1,0,100,20,4/17/2025 13:02:40
4/17/2025 13:31,6,6,0,100,20,4/17/2025 13:31:40
4/17/2025 14:00,29,29,0,100,20,4/17/2025 14:00:40
4/17/2025 14:29,52,52,0,100,20,4/17/2025 14:29:40
4/17/2025 14:58,71,71,0,100,20,4/17/2025 14:58:40
4/17/2025 15:27,210,210,0,100,20,4/17/2025 15:27:40
4/17/2025 15:56,345,345,0,100,20,4/17/2025 15:56:40
4/17/2025 16:25,480,480,0,100,20,4/17/2025 16:25:40
4/17/2025 16:54,615,615,0,100,20,4/17/2025 16:54:40
4/17/2025 17:23,750,750,0,100,20,4/17/2025 17:23:40
4/17/2025 17:52,1670,1670,0,100,20,4/17/2025 17:52:40
4/17/2025 18:21,2590,2590,0,100,20,4/17/2025 18:21:40
4/17/2025 18:50,3510,3510,0,100,20,4/17/2025 18:50:40
4/17/2025 19:19,2.1,2.1,0,0,20,4/17/2025 19:19:40
4/17/2025 19:48,6,6,0,0,20,4/17/2025 19:48:40
4/17/2025 20:17,29,29,0,0,20,4/17/2025 20:17:40
4/17/2025 20:46,52,52,0,0,20,4/17/2025 20:46:40
4/17/2025 21:15,71,71,0,0,20,4/17/2025 21:15:40
4/17/2025 21:44,210,210,0,0,20,4/17/2025 21:44:40
4/17/2025 22:13,345,345,0,0,20,4/17/2025 22:13:40
4/17/2025 22:42,480,480,0,0,20,4/17/2025 22:42:40
4/17/2025 23:11,615,615,0,0,20,4/17/2025 23:11:40
4/17/2025 23:40,750,750,0,0,20,4/17/2025 23:40:40
4/18/2025 0:09,1670,1670,0,0,20,4/18/2025 0:09:40
4/18/2025 0:38,2590,2590,0,0,20,4/18/2025 0:38:40
4/18/2025 1:07,3510,3510,0,0,20,4/18/2025 1:07:40
4/18/2025 1:36,2.1,2.1,0,35,20,4/18/2025 1:36:40
4/18/2025 2:05,6,6,0,35,20,4/18/2025 2:05:40
4/18/2025 2:34,29,29,0,35,20,4/18/2025 2:34:40
4/18/2025 3:03,52,52,0,35,20,4/18/2025 3:03:40
4/18/2025 3:32,71,71,0,35,20,4/18/2025 3:32:40
4/18/2025 4:01,210,210,0,35,20,4/18/2025 4:01:40
4/18/2025 4:30,345,345,0,35,20,4/18/2025 4:30:40
4/18/2025 4:59,480,480,0,35,20,4/18/2025 4:59:40
4/18/2025 5:28,615,615,0,35,20,4/18/2025 5:28:40
4/18/2025 5:57,750,750,0,35,20,4/18/2025 5:57:40
4/18/2025 6:26,1670,1670,0,35,20,4/18/2025 6:26:40
4/18/2025 6:55,2590,2590,0,35,20,4/18/2025 6:55:40
4/18/2025 7:24,3510,3510,0,35,20,4/18/2025 7:24:40
4/18/2025 7:53,2.1,2.1,0,100,20,4/18/2025 7:53:40
4/18/2025 8:22,6,6,0,100,20,4/18/2025 8:22:40
4/18/2025 8:51,29,29,0,100,20,4/18/2025 8:51:40
4/18/2025 9:20,52,52,0,100,20,4/18/2025 9:20:40
4/18/2025 9:49,71,71,0,100,20,4/18/2025 9:49:40
4/18/2025 10:18,210,210,0,100,20,4/18/2025 10:18:40
4/18/2025 10:47,345,345,0,100,20,4/18/2025 10:47:40
4/18/2025 11:16,480,480,0,100,20,4/18/2025 11:16:40
4/18/2025 11:45,615,615,0,100,20,4/18/2025 11:45:40
4/18/2025 12:14,750,750,0,100,20,4/18/2025 12:14:40
4/18/2025 12:43,1670,1670,0,100,20,4/18/2025 12:43:40
4/18/2025 13:12,2590,2590,0,100,20,4/18/2025 13:12:40
4/18/2025 13:41,3510,3510,0,100,20,4/18/2025 13:41:40
4/18/2025 14:10,2.1,2.1,0,0,30,4/18/2025 14:10:40
4/18/2025 14:39,2.1,2.1,0,0,30,4/18/2025 14:39:40
4/18/2025 15:08,6,6,0,0,30,4/18/2025 15:08:40
4/18/2025 15:37,29,29,0,0,30,4/18/2025 15:37:40
4/18/2025 16:06,52,52,0,0,30,4/18/2025 16:06:40
4/18/2025 16:35,71,71,0,0,30,4/18/2025 16:35:40
4/18/2025 17:04,210,210,0,0,30,4/18/2025 17:04:40
4/18/2025 17:33,345,345,0,0,30,4/18/2025 17:33:40
4/18/2025 18:02,480,480,0,0,30,4/18/2025 18:02:40
4/18/2025 18:31,615,615,0,0,30,4/18/2025 18:31:40
4/18/2025 19:00,750,750,0,0,30,4/18/2025 19:00:40
4/18/2025 19:29,1670,1670,0,0,30,4/18/2025 19:29:40
4/18/2025 19:58,2590,2590,0,0,30,4/18/2025 19:58:40
4/18/2025 20:27,3510,3510,0,0,30,4/18/2025 20:27:40
4/18/2025 20:56,2.1,2.1,0,35,30,4/18/2025 20:56:40
4/18/2025 21:25,6,6,0,35,30,4/18/2025 21:25:40
4/18/2025 21:54,29,29,0,35,30,4/18/2025 21:54:40
4/18/2025 22:23,52,52,0,35,30,4/18/2025 22:23:40
4/18/2025 22:52,71,71,0,35,30,4/18/2025 22:52:40
