Date [mm/dd] Start Time [hh:mm:ss],Iter_Duration [ms],C_CH4 [ppm],C_H2S [ppm],RH [%],T [C]
2025-06-03 15:23:00,0,2.1,0,0,40
2025-06-03 15:39:00,947001,6.0,0,0,40
2025-06-03 15:55:00,947000,29.0,0,0,40
2025-06-03 16:11:00,947000,52.0,0,0,40
2025-06-03 16:27:00,946997,71.0,0,0,40
2025-06-03 16:43:00,947000,210.0,0,0,40
2025-06-03 16:59:00,947000,345.0,0,0,40
2025-06-03 17:15:00,947000,480.0,0,0,40
2025-06-03 17:31:00,947001,615.0,0,0,40
2025-06-03 17:47:00,947000,750.0,0,0,40
2025-06-03 18:03:00,947000,1670.0,0,0,40
2025-06-03 18:19:00,946999,2590.0,0,0,40
2025-06-03 18:35:00,947000,3510.0,0,0,40
2025-06-03 18:51:00,947000,2.1,0,35,40
2025-06-03 19:07:00,947000,6.0,0,35,40
2025-06-03 19:23:00,946999,29.0,0,35,40
2025-06-03 19:39:00,947000,52.0,0,35,40
2025-06-03 19:55:00,947000,71.0,0,35,40
2025-06-03 20:11:00,947001,210.0,0,35,40
2025-06-03 20:27:00,947000,345.0,0,35,40
2025-06-03 20:43:00,946999,480.0,0,35,40
2025-06-03 20:59:00,947001,615.0,0,35,40
2025-06-03 21:15:00,947000,750.0,0,35,40
2025-06-03 21:31:00,947000,1670.0,0,35,40
2025-06-03 21:47:00,947000,2590.0,0,35,40
2025-06-03 22:03:00,947001,3510.0,0,35,40
2025-06-03 22:19:00,947000,2.1,0,65,40
2025-06-03 22:35:00,947000,6.0,0,65,40
2025-06-03 22:51:00,947000,29.0,0,65,40
2025-06-03 23:07:00,947000,52.0,0,65,40
2025-06-03 23:23:00,947000,71.0,0,65,40
2025-06-03 23:39:00,947000,210.0,0,65,40
2025-06-03 23:55:00,947000,345.0,0,65,40
2025-06-04 00:11:00,947000,480.0,0,65,40
2025-06-04 00:27:00,947000,615.0,0,65,40
2025-06-04 00:43:00,947000,750.0,0,65,40
2025-06-04 00:59:00,947000,1670.0,0,65,40
2025-06-04 01:15:00,947000,2590.0,0,65,40
2025-06-04 01:31:00,947000,3510.0,0,65,40
2025-06-04 01:47:00,947000,2.1,0,100,40
2025-06-04 02:03:00,947000,6.0,0,100,40
2025-06-04 02:19:00,947000,29.0,0,100,40
2025-06-04 02:35:00,947000,52.0,0,100,40
2025-06-04 02:51:00,947000,71.0,0,100,40
2025-06-04 03:07:00,947000,210.0,0,100,40
2025-06-04 03:23:00,947000,345.0,0,100,40
2025-06-04 03:39:00,947000,480.0,0,100,40
2025-06-04 03:55:00,947000,615.0,0,100,40
2025-06-04 04:11:00,947000,750.0,0,100,40
2025-06-04 04:27:00,947000,1670.0,0,100,40
2025-06-04 04:43:00,946999,2590.0,0,100,40
2025-06-04 04:59:00,947000,3510.0,0,100,40
2025-06-04 05:15:00,947000,2.1,0,0,40
2025-06-04 05:31:00,947001,6.0,0,0,40
2025-06-04 05:47:00,947001,29.0,0,0,40
2025-06-04 06:03:00,947001,52.0,0,0,40
2025-06-04 06:19:00,947000,71.0,0,0,40
2025-06-04 06:35:00,947001,210.0,0,0,40
2025-06-04 06:51:00,947000,345.0,0,0,40
2025-06-04 07:07:00,946999,480.0,0,0,40
2025-06-04 07:23:00,947000,615.0,0,0,40
2025-06-04 07:39:00,947000,750.0,0,0,40
2025-06-04 07:55:00,947000,1670.0,0,0,40
2025-06-04 08:11:00,947000,2590.0,0,0,40
2025-06-04 08:27:00,947000,3510.0,0,0,40
2025-06-04 08:43:00,947000,2.1,0,35,40
2025-06-04 08:59:00,947000,6.0,0,35,40
2025-06-04 09:15:00,947000,29.0,0,35,40
2025-06-04 09:31:00,947000,52.0,0,35,40
2025-06-04 09:47:00,947001,71.0,0,35,40
2025-06-04 10:03:00,947000,210.0,0,35,40
2025-06-04 11:47:00,0,345.0,0,35,40
2025-06-04 12:03:00,947000,480.0,0,35,40
2025-06-04 12:19:00,947000,615.0,0,35,40
2025-06-04 12:35:00,947000,750.0,0,35,40
2025-06-04 12:51:00,947000,1670.0,0,35,40
2025-06-04 13:07:00,947000,2590.0,0,35,40
2025-06-04 13:23:00,947000,3510.0,0,35,40
2025-06-04 13:39:00,946999,2.1,0,65,40
2025-06-04 13:55:00,947000,6.0,0,65,40
2025-06-04 14:11:00,947000,29.0,0,65,40
2025-06-04 14:27:00,946999,52.0,0,65,40
2025-06-04 14:43:00,947001,71.0,0,65,40
2025-06-04 14:59:00,946999,210.0,0,65,40
2025-06-04 15:15:00,947000,345.0,0,65,40
2025-06-04 15:31:00,947001,480.0,0,65,40
2025-06-04 15:47:00,947000,615.0,0,65,40
2025-06-04 16:03:00,947000,750.0,0,65,40
2025-06-04 16:19:00,947000,1670.0,0,65,40
2025-06-04 16:35:00,947000,2590.0,0,65,40
2025-06-04 16:51:00,947000,3510.0,0,65,40
2025-06-04 17:07:00,947000,2.1,0,100,40
2025-06-04 17:23:00,947000,6.0,0,100,40
2025-06-04 17:39:00,947000,29.0,0,100,40
2025-06-04 17:55:00,947000,52.0,0,100,40
2025-06-04 18:11:00,947000,71.0,0,100,40
2025-06-04 18:27:00,947001,210.0,0,100,40
2025-06-04 18:43:00,947000,345.0,0,100,40
2025-06-04 18:59:00,947000,480.0,0,100,40
2025-06-04 19:15:00,947000,615.0,0,100,40
2025-06-04 19:31:00,947000,750.0,0,100,40
2025-06-04 19:47:00,947001,1670.0,0,100,40
2025-06-04 20:03:00,947000,2590.0,0,100,40
2025-06-04 20:19:00,947000,3510.0,0,100,40
2025-06-04 20:35:00,947001,2.1,0,0,35
2025-06-04 20:51:00,947000,2.1,0,0,35
2025-06-04 21:07:00,947001,2.1,0,0,35
2025-06-04 21:23:00,946999,2.1,0,0,35
2025-06-04 21:39:00,947001,2.1,0,0,35
2025-06-04 21:55:00,947001,6.0,0,0,35
2025-06-04 22:11:00,947001,29.0,0,0,35
2025-06-04 22:27:00,947000,52.0,0,0,35
2025-06-04 22:43:00,947000,71.0,0,0,35
2025-06-04 22:59:00,947000,210.0,0,0,35
2025-06-04 23:15:00,947000,345.0,0,0,35
2025-06-04 23:31:00,947000,480.0,0,0,35
2025-06-04 23:47:00,947000,615.0,0,0,35
2025-06-05 00:03:00,947000,750.0,0,0,35
2025-06-05 00:19:00,947001,1670.0,0,0,35
2025-06-05 00:35:00,947000,2590.0,0,0,35
2025-06-05 00:51:00,947000,3510.0,0,0,35
2025-06-05 01:07:00,947001,2.1,0,35,35
2025-06-05 01:23:00,947000,6.0,0,35,35
2025-06-05 01:39:00,947000,29.0,0,35,35
2025-06-05 01:55:00,947000,52.0,0,35,35
2025-06-05 02:11:00,947000,71.0,0,35,35
2025-06-05 02:27:00,947001,210.0,0,35,35
2025-06-05 02:43:00,947001,345.0,0,35,35
2025-06-05 02:59:00,947000,480.0,0,35,35
2025-06-05 03:15:00,947000,615.0,0,35,35
2025-06-05 03:31:00,947000,750.0,0,35,35
2025-06-05 03:47:00,947000,1670.0,0,35,35
2025-06-05 04:03:00,947001,2590.0,0,35,35
2025-06-05 04:19:00,947000,3510.0,0,35,35
2025-06-05 04:35:00,947000,2.1,0,65,35
2025-06-05 04:51:00,947000,6.0,0,65,35
2025-06-05 05:07:00,947000,29.0,0,65,35
2025-06-05 05:23:00,947000,52.0,0,65,35
2025-06-05 05:39:00,947001,71.0,0,65,35
2025-06-05 05:55:00,947000,210.0,0,65,35
2025-06-05 06:11:00,947000,345.0,0,65,35
2025-06-05 06:27:00,947000,480.0,0,65,35
2025-06-05 06:43:00,947000,615.0,0,65,35
2025-06-05 06:59:00,947000,750.0,0,65,35
2025-06-05 07:15:00,947000,1670.0,0,65,35
2025-06-05 07:31:00,947000,2590.0,0,65,35
2025-06-05 07:47:00,946999,3510.0,0,65,35
2025-06-05 08:03:00,947001,2.1,0,100,35
2025-06-05 08:19:00,947000,6.0,0,100,35
2025-06-05 08:35:00,946999,29.0,0,100,35
2025-06-05 08:51:00,947001,52.0,0,100,35
2025-06-05 09:07:00,947000,71.0,0,100,35
2025-06-05 09:23:00,947000,210.0,0,100,35
2025-06-05 09:39:00,947000,345.0,0,100,35
2025-06-05 09:55:00,947000,480.0,0,100,35
2025-06-05 10:11:00,947000,615.0,0,100,35
2025-06-05 10:27:00,947001,750.0,0,100,35
2025-06-05 10:43:00,947000,1670.0,0,100,35
2025-06-05 10:59:00,947000,2590.0,0,100,35
2025-06-05 11:15:00,947000,3510.0,0,100,35
2025-06-05 11:31:00,947000,2.1,0,0,35
2025-06-05 11:47:00,947000,6.0,0,0,35
2025-06-05 12:03:00,947006,29.0,0,0,35
2025-06-05 12:19:00,946992,52.0,0,0,35
2025-06-05 12:35:00,947012,71.0,0,0,35
2025-06-05 12:51:00,946998,210.0,0,0,35
2025-06-05 13:07:00,947015,345.0,0,0,35
2025-06-05 13:23:00,947005,480.0,0,0,35
2025-06-05 13:39:00,947008,615.0,0,0,35
2025-06-05 13:55:00,946996,750.0,0,0,35
2025-06-05 14:11:00,947010,1670.0,0,0,35
2025-06-05 14:27:00,947000,2590.0,0,0,35
2025-06-05 14:43:00,947009,3510.0,0,0,35
2025-06-05 14:59:00,946999,2.1,0,35,35
2025-06-05 15:15:00,947005,6.0,0,35,35
2025-06-05 15:31:00,947005,29.0,0,35,35
2025-06-05 15:47:00,947010,52.0,0,35,35
2025-06-05 16:03:00,947010,71.0,0,35,35
2025-06-05 16:19:00,947001,210.0,0,35,35
2025-06-05 16:35:00,947010,345.0,0,35,35
2025-06-05 16:51:00,947006,480.0,0,35,35
2025-06-05 17:07:00,947002,615.0,0,35,35
2025-06-05 17:23:00,947009,750.0,0,35,35
2025-06-05 17:39:00,947006,1670.0,0,35,35
2025-06-05 17:55:00,947001,2590.0,0,35,35
2025-06-05 18:11:00,947007,3510.0,0,35,35
2025-06-05 18:27:00,947006,2.1,0,65,35
2025-06-05 18:43:00,947007,6.0,0,65,35
2025-06-05 18:59:00,947010,29.0,0,65,35
2025-06-05 19:15:00,947002,52.0,0,65,35
2025-06-05 19:31:00,947013,71.0,0,65,35
2025-06-05 19:47:00,947008,210.0,0,65,35
2025-06-05 20:03:00,947001,345.0,0,65,35
2025-06-05 20:19:00,947008,480.0,0,65,35
2025-06-05 20:35:00,947008,615.0,0,65,35
2025-06-05 20:51:00,947008,750.0,0,65,35
2025-06-05 21:07:00,947003,1670.0,0,65,35
2025-06-05 21:23:00,947005,2590.0,0,65,35
2025-06-05 21:39:00,947003,3510.0,0,65,35
2025-06-05 21:55:00,947004,2.1,0,100,35
2025-06-05 22:11:00,947009,6.0,0,100,35
2025-06-05 22:27:00,947009,29.0,0,100,35
2025-06-05 22:43:00,947006,52.0,0,100,35
2025-06-05 22:59:00,947002,71.0,0,100,35
2025-06-05 23:15:00,946993,210.0,0,100,35
2025-06-05 23:31:00,947006,345.0,0,100,35
2025-06-05 23:47:00,947020,480.0,0,100,35
2025-06-06 00:03:00,947010,615.0,0,100,35
2025-06-06 00:19:00,947008,750.0,0,100,35
2025-06-06 00:35:00,947008,1670.0,0,100,35
2025-06-06 00:51:00,947005,2590.0,0,100,35
2025-06-06 01:07:00,947001,3510.0,0,100,35
2025-06-06 01:23:00,947005,2.1,0,0,25
2025-06-06 01:39:00,947006,2.1,0,0,25
2025-06-06 01:55:00,947003,2.1,0,0,25
2025-06-06 02:11:00,947010,2.1,0,0,25
2025-06-06 02:27:00,946998,2.1,0,0,25
2025-06-06 02:43:00,947003,6.0,0,0,25
2025-06-06 02:59:00,947005,29.0,0,0,25
2025-06-06 03:15:00,947020,52.0,0,0,25
2025-06-06 03:31:00,947007,71.0,0,0,25
2025-06-06 03:47:00,947006,210.0,0,0,25
2025-06-06 04:03:00,947008,345.0,0,0,25
2025-06-06 04:19:00,947006,480.0,0,0,25
2025-06-06 04:35:00,946995,615.0,0,0,25
2025-06-06 04:51:00,947000,750.0,0,0,25
2025-06-06 05:07:00,947002,1670.0,0,0,25
2025-06-06 05:23:00,947011,2590.0,0,0,25
2025-06-06 05:39:00,947011,3510.0,0,0,25
2025-06-06 05:55:00,947005,2.1,0,35,25
2025-06-06 06:11:00,947003,6.0,0,35,25
2025-06-06 06:27:00,947000,29.0,0,35,25
2025-06-06 06:43:00,947011,52.0,0,35,25
2025-06-06 06:59:00,947006,71.0,0,35,25
2025-06-06 07:15:00,946998,210.0,0,35,25
2025-06-06 07:31:00,947007,345.0,0,35,25
2025-06-06 07:47:00,946997,480.0,0,35,25
2025-06-06 08:03:00,947004,615.0,0,35,25
2025-06-06 08:19:00,947007,750.0,0,35,25
